日期,收盘,开盘,高,低,涨跌幅
2016年12月23日,1216.8,1216.8,1216.8,1216.8,0.0025
2016年12月25日,1135.0,1135.0,1135.0,1135.0,-0.0672
2016年12月26日,1134.55,1135.0,1136.05,1134.0,-0.0004
2016年12月27日,1221.9,1221.9,1221.9,1221.9,0.077
2016年12月28日,1224.0,1224.0,1224.0,1224.0,0.0017000000000000001
2016年12月29日,1241.2,1241.2,1241.2,1241.2,0.0141
2016年12月2日,1242.4,1242.4,1242.4,1242.4,0.0070999999999999995
2016年12月30日,1234.5,1239.0,1239.0,1239.0,-0.0054
2016年12月5日,1241.7,1236.7,1236.7,1236.7,-0.0006
2016年12月6日,1235.0,1235.0,1235.0,1235.0,-0.0054
2016年12月7日,1250.6,1250.6,1250.6,1250.6,0.0126
2016年12月8日,1246.4,1246.4,1246.4,1246.4,-0.0034000000000000002
2016年12月9日,1236.0,1236.0,1236.0,1236.0,-0.0083
2016年1月11日,1148.5,1148.5,1148.5,1148.5,-0.0028000000000000004
2016年1月12日,1137.1,1137.1,1137.1,1137.1,-0.009899999999999999
2016年1月13日,1137.4,1137.4,1137.4,1137.4,0.0003
2016年1月14日,1123.0,1123.0,1123.0,1123.0,-0.0127
2016年1月15日,1137.5,1137.5,1137.5,1137.5,0.0129
2016年1月17日,1090.3,1088.6,1090.8,1088.6,-0.0415
2016年1月18日,1088.5,1090.2,1093.3,1087.4,-0.0017000000000000001
2016年1月19日,1135.8,1135.8,1135.8,1135.8,0.0435
2016年1月20日,1151.7,1151.7,1151.7,1151.7,0.013999999999999999
2016年1月21日,1143.6,1143.6,1143.6,1143.6,-0.006999999999999999
2016年1月22日,1142.6,1142.6,1142.6,1142.6,-0.0009
2016年1月25日,1152.4,1152.4,1152.4,1152.4,0.0086
2016年1月26日,1167.3,1167.3,1167.3,1167.3,0.0129
2016年1月27日,1163.9,1163.9,1163.9,1163.9,-0.0029
2016年1月28日,1163.7,1163.7,1163.7,1163.7,-0.0002
2016年1月29日,1161.9,1161.9,1161.9,1161.9,-0.0015
2016年1月4日,1135.5,1135.5,1135.5,1135.5,0.0129
2016年1月5日,1138.4,1138.4,1138.4,1138.4,0.0026
2016年1月6日,1151.9,1151.9,1151.9,1151.9,0.011899999999999999
2016年1月7日,1162.7,1162.7,1162.7,1162.7,0.009399999999999999
2016年1月8日,1151.7,1151.7,1151.7,1151.7,-0.0095
2016年2月10日,1232.6,1232.6,1232.6,1232.6,-0.0034999999999999996
2016年2月11日,1282.1,1269.0,1269.0,1269.0,0.04019999999999999
2016年2月12日,1271.2,1271.2,1271.2,1271.2,-0.0085
2016年2月14日,1233.6,1235.7,1235.9,1231.4,-0.0296
2016年2月15日,1208.1,1234.0,1235.1,1202.8,-0.0207
2016年2月16日,1241.1,1230.0,1230.0,1230.0,0.0273
2016年2月17日,1247.2,1247.2,1247.2,1247.2,0.0049
2016年2月18日,1262.5,1262.5,1262.5,1262.5,0.0123
2016年2月19日,1267.4,1267.4,1267.4,1267.4,0.0039000000000000003
2016年2月1日,1173.5,1173.5,1173.5,1173.5,0.01
2016年2月22日,1246.7,1246.0,1246.0,1246.0,-0.0163
2016年2月23日,1261.4,1261.4,1261.4,1261.4,0.0118
2016年2月24日,1277.1,1277.1,1277.1,1277.1,0.0124
2016年2月25日,1277.0,1277.0,1277.0,1277.0,-0.0001
2016年2月26日,1258.8,1258.8,1258.8,1258.8,-0.0143
2016年2月29日,1273.3,1273.3,1273.3,1273.3,0.0115
2016年2月2日,1170.1,1170.1,1170.1,1170.1,-0.0029
2016年2月3日,1183.3,1183.3,1183.3,1183.3,0.0113
2016年2月4日,1197.7,1197.7,1197.7,1197.7,0.012199999999999999
2016年2月5日,1198.0,1220.4,1220.4,1220.4,0.0003
2016年2月8日,1238.2,1243.8,1243.8,1243.8,0.0336
2016年2月9日,1236.9,1236.9,1236.9,1236.9,-0.001
2016年3月10日,1320.1,1299.0,1299.0,1299.0,0.0128
2016年3月11日,1308.6,1308.6,1308.6,1308.6,-0.0087
2016年3月14日,1294.4,1285.0,1286.4,1285.0,-0.0109
2016年3月15日,1280.2,1280.2,1280.2,1280.2,-0.011000000000000001
2016年3月16日,1280.9,1280.9,1280.9,1280.9,0.0005
2016年3月17日,1314.1,1314.1,1314.1,1314.1,0.0259
2016年3月18日,1302.0,1302.0,1302.0,1302.0,-0.0092
2016年3月1日,1271.2,1271.2,1271.2,1271.2,-0.0016
2016年3月21日,1292.7,1292.7,1292.7,1292.7,-0.0070999999999999995
2016年3月22日,1298.8,1298.8,1298.8,1298.8,0.004699999999999999
2016年3月23日,1274.0,1299.0,1299.0,1269.7,-0.0191
2016年3月24日,1272.4,1272.4,1272.4,1272.4,-0.0013
2016年3月25日,1216.7,1216.7,1216.7,1216.7,-0.0438
2016年3月28日,1270.7,1270.7,1270.7,1270.7,0.0444
2016年3月29日,1286.3,1286.3,1286.3,1286.3,0.0123
2016年3月2日,1283.0,1283.0,1283.0,1283.0,0.009300000000000001
2016年3月30日,1276.9,1276.9,1276.9,1276.9,-0.0073
2016年3月31日,1280.9,1280.9,1280.9,1280.9,0.0031
2016年3月3日,1300.7,1300.7,1300.7,1300.7,0.0138
2016年3月4日,1315.6,1315.6,1315.6,1315.6,0.0115
2016年3月7日,1310.3,1310.3,1310.3,1310.3,-0.004
2016年3月8日,1309.0,1309.0,1309.0,1309.0,-0.001
2016年3月9日,1303.4,1304.0,1304.0,1304.0,-0.0043
2016年4月11日,1302.4,1302.4,1302.4,1302.4,0.011699999999999999
2016年4月12日,1306.4,1306.4,1306.4,1306.4,0.0031
2016年4月13日,1293.9,1293.9,1293.9,1293.9,-0.0096
2016年4月14日,1272.1,1272.1,1272.1,1272.1,-0.0168
2016年4月15日,1279.7,1279.7,1279.7,1279.7,0.006
2016年4月18日,1280.3,1280.3,1280.3,1280.3,0.0005
2016年4月19日,1300.8,1300.8,1300.8,1300.8,0.016
2016年4月1日,1268.9,1268.9,1268.9,1268.9,-0.009399999999999999
2016年4月20日,1302.3,1302.3,1302.3,1302.3,0.0012
2016年4月21日,1299.5,1299.5,1299.5,1299.5,-0.0022
2016年4月22日,1278.8,1278.8,1278.8,1278.8,-0.0159
2016年4月25日,1289.1,1289.1,1289.1,1289.1,0.008100000000000001
2016年4月26日,1292.4,1292.4,1292.4,1292.4,0.0026
2016年4月27日,1299.8,1299.8,1299.8,1299.8,0.005699999999999999
2016年4月28日,1316.8,1316.8,1316.8,1316.8,0.0131
2016年4月29日,1341.4,1341.4,1341.4,1341.4,0.0187
2016年4月4日,1264.7,1264.7,1264.7,1264.7,-0.0033
2016年4月5日,1274.5,1274.5,1274.5,1274.5,0.0077
