日期,收盘,开盘,高,低,交易量,涨跌幅
2020年11月24日,19152.60 ,18394.60 ,19416.60 ,18074.80 ,180.79K,4.21%
2020年11月23日,18379.60 ,18428.10 ,18756.80 ,18016.00 ,127.35K,-0.18%
2020年11月22日,18412.90 ,18689.30 ,18751.50 ,17644.60 ,121.76K,-1.47%
2020年11月21日,18687.20 ,18673.80 ,18966.00 ,18397.50 ,108.91K,0.06%
2020年11月20日,18675.20 ,17805.50 ,18811.00 ,17758.40 ,134.42K,4.90%
2020年11月19日,17803.50 ,17775.10 ,18166.00 ,17380.10 ,135.94K,0.16%
2020年11月18日,17774.60 ,17662.30 ,18466.10 ,17258.90 ,233.43K,0.64%
2020年11月17日,17662.30 ,16715.80 ,17845.40 ,16562.00 ,175.87K,5.66%
2020年11月16日,16715.80 ,15954.10 ,16880.70 ,15870.70 ,118.09K,4.78%
2020年11月15日,15953.00 ,16074.70 ,16158.10 ,15782.30 ,58.43K,-0.73%
2020年11月14日,16071.00 ,16323.10 ,16328.20 ,15717.70 ,83.64K,-1.55%
2020年11月13日,16324.20 ,16293.00 ,16474.10 ,15973.40 ,113.75K,0.18%
2020年11月12日,16294.70 ,15695.80 ,16342.70 ,15483.50 ,165.54K,3.82%
2020年11月11日,15695.80 ,15303.10 ,15953.90 ,15281.00 ,119.07K,2.56%
2020年11月10日,15303.60 ,15328.00 ,15465.30 ,15096.50 ,93.36K,-0.15%
2020年11月9日,15327.20 ,15483.30 ,15819.60 ,14816.90 ,165.04K,-1.01%
2020年11月8日,15483.70 ,14826.60 ,15648.30 ,14720.70 ,94.99K,4.42%
2020年11月7日,14828.40 ,15578.20 ,15754.40 ,14385.10 ,160.73K,-4.81%
2020年11月6日,15577.90 ,15593.90 ,15955.20 ,15223.50 ,186.13K,-0.06%
2020年11月5日,15587.10 ,14145.60 ,15739.90 ,14099.70 ,227.49K,10.19%
2020年11月4日,14145.60 ,14023.00 ,14238.80 ,13544.40 ,140.80K,0.90%
2020年11月3日,14019.90 ,13560.50 ,14054.00 ,13294.60 ,108.17K,3.38%
2020年11月2日,13561.40 ,13759.70 ,13828.40 ,13214.20 ,97.76K,-1.44%
2020年11月1日,13759.40 ,13795.50 ,13889.50 ,13628.70 ,51.71K,-0.27%
2020年10月31日,13797.30 ,13560.20 ,14065.40 ,13441.70 ,102.75K,1.75%
2020年10月30日,13559.90 ,13457.00 ,13667.90 ,13134.50 ,108.77K,0.76%
2020年10月29日,13457.20 ,13278.30 ,13640.00 ,12982.90 ,111.23K,1.34%
2020年10月28日,13278.90 ,13658.30 ,13851.70 ,12907.60 ,144.18K,-2.77%
2020年10月27日,13657.80 ,13061.50 ,13782.30 ,13050.30 ,128.64K,4.56%
2020年10月26日,13061.60 ,13033.00 ,13229.70 ,12792.40 ,89.47K,0.23%
2020年10月25日,13032.20 ,13117.00 ,13345.30 ,12900.40 ,59.73K,-0.65%
2020年10月24日,13117.20 ,12933.60 ,13161.50 ,12876.40 ,51.20K,1.42%
2020年10月23日,12934.10 ,12972.70 ,13025.50 ,12738.90 ,73.94K,-0.31%
2020年10月22日,12974.60 ,12805.50 ,13183.90 ,12698.20 ,113.31K,1.30%
2020年10月21日,12808.70 ,11913.60 ,13213.50 ,11894.60 ,197.72K,7.51%
2020年10月20日,11913.50 ,11753.90 ,12029.40 ,11685.70 ,94.59K,1.36%
2020年10月19日,11753.40 ,11507.10 ,11823.30 ,11413.90 ,73.04K,2.14%
2020年10月18日,11506.90 ,11362.10 ,11506.90 ,11349.80 ,31.51K,1.27%
2020年10月17日,11362.10 ,11321.80 ,11402.70 ,11274.40 ,29.86K,0.35%
2020年10月16日,11322.00 ,11503.20 ,11542.20 ,11224.60 ,71.42K,-1.57%
2020年10月15日,11503.00 ,11421.40 ,11590.90 ,11276.70 ,70.84K,0.72%
2020年10月14日,11420.40 ,11424.40 ,11541.00 ,11293.50 ,59.12K,-0.03%
2020年10月13日,11423.80 ,11533.50 ,11558.00 ,11315.90 ,64.67K,-0.95%
2020年10月12日,11533.90 ,11370.80 ,11715.90 ,11227.40 ,84.02K,1.43%
2020年10月11日,11371.00 ,11295.60 ,11439.40 ,11277.60 ,41.06K,0.64%
2020年10月10日,11298.40 ,11053.50 ,11475.00 ,11053.10 ,65.81K,2.21%
2020年10月9日,11054.20 ,10923.50 ,11103.00 ,10836.90 ,70.95K,1.19%
2020年10月8日,10924.10 ,10670.70 ,10948.60 ,10549.60 ,79.78K,2.37%
2020年10月7日,10670.90 ,10601.00 ,10680.10 ,10553.30 ,49.27K,0.64%
2020年10月6日,10602.60 ,10790.20 ,10800.30 ,10530.80 ,69.07K,-1.73%
2020年10月5日,10789.50 ,10672.50 ,10789.60 ,10623.40 ,48.86K,1.09%
2020年10月4日,10672.90 ,10544.40 ,10693.30 ,10520.80 ,31.40K,1.22%
2020年10月3日,10544.20 ,10572.20 ,10597.80 ,10501.20 ,29.10K,-0.27%
