日期,开盘,收盘,高,低,涨跌幅
2015年2月24日,238.8,238.9,240.3,235.5,0.0003
2015年2月25日,238.9,237.3,239.6,234.6,-0.0065
2015年2月26日,237.3,236.5,238.2,233.5,-0.0034
2015年2月27日,236.5,253.5,258.7,235.7,0.0716
2015年2月28日,253.5,254.1,255.4,248.7,0.0023
2015年2月2日,225.3,238.9,242.5,220.5,0.0602
2015年2月3日,238.9,227.4,247.5,223.9,-0.0479
2015年2月4日,227.4,226.6,230.7,220.2,-0.0036
2015年2月5日,226.6,216.5,229.9,214.4,-0.0444
2015年2月6日,216.5,223,226.2,215.6,0.0297
2015年2月7日,223,227.7,231,222.4,0.0212
2015年2月8日,227.7,223.7,230.2,219.5,-0.0176
2015年2月9日,223.7,220.3,225,215.7,-0.0149
2015年3月10日,290,291.4,301,288.1,0.0047
2015年3月11日,291.4,295.6,297.7,288.9,0.0145
2015年3月12日,295.6,293.9,297,290.8,-0.0059
2015年3月13日,293.9,287.2,294.9,286.1,-0.0226
2015年3月14日,287.2,281.6,288.4,279.3,-0.0195
2015年3月15日,281.6,284.9,286.4,280.4,0.0116
2015年3月16日,284.9,290.4,294,284.8,0.0194
2015年3月17日,290.4,285.4,292.5,283.3,-0.0173
2015年3月18日,285.4,255.9,285.6,248.2,-0.1032
2015年3月19日,255.9,260.9,264.8,247,0.0196
2015年3月1日,254.1,257.9,260.6,244.8,0.0153
2015年3月20日,260.9,261.8,264.7,257.9,0.0033
2015年3月21日,261.8,259.7,263.3,254,-0.0079
2015年3月22日,259.7,268.6,270.4,259,0.0341
2015年3月23日,268.6,265.5,271,259.4,-0.0116
2015年3月24日,265.5,246.7,267,242.7,-0.0706
2015年3月25日,246.7,246.4,249.2,234.8,-0.0014
2015年3月26日,246.4,248,254.7,243.5,0.0067
2015年3月27日,248,247.2,250.1,244.5,-0.0033
2015年3月28日,247.2,252,254.3,246.3,0.0195
2015年3月29日,252,242.1,252.8,238.9,-0.0394
2015年3月2日,257.9,273.8,274.8,256.1,0.0613
2015年3月30日,242.1,246.8,248.8,236.6,0.0195
2015年3月31日,246.8,244.1,248.7,241.2,-0.0107
2015年3月3日,273.8,280.6,287.1,266.1,0.0252
2015年3月4日,280.6,271.9,284.5,265.9,-0.0311
2015年3月5日,271.9,275.2,280.8,262.8,0.0122
2015年3月6日,275.2,272.6,278,269,-0.0097
2015年3月7日,272.6,274.9,278.3,269.4,0.0086
2015年3月8日,274.9,274.5,278.8,271.3,-0.0015
2015年3月9日,274.5,290,293.3,273.8,0.0566
2015年4月10日,243.3,234.7,244.1,231.3,-0.0353
2015年4月11日,234.7,236.5,240,233.1,0.0075
2015年4月12日,236.5,235.9,237.5,232.3,-0.0027
2015年4月13日,235.9,223.6,236.8,220.4,-0.052
2015年4月14日,223.6,218,224.7,214.3,-0.025
2015年4月15日,218,223,223.6,217.1,0.0228
2015年4月16日,223,228,229.5,222.9,0.0225
